,Metric,PRST,SPY
609,06/28/2019,,0.51
610,06/28/2021,0.2,0.2
611,06/28/2022,0.0,-2.04
612,06/28/2023,-5.62,0.05
613,06/29/2020,,1.47
614,06/29/2021,0.0,0.05
615,06/29/2022,0.0,-0.08
616,06/29/2023,13.91,0.39
617,06/30/2020,,1.28
618,06/30/2021,-0.2,0.08
619,06/30/2022,0.1,-0.81
620,06/30/2023,1.16,1.18
621,07/01/2019,,0.91
622,07/01/2020,,0.7
623,07/01/2021,0.2,0.55
624,07/01/2022,0.1,1.06
625,07/02/2019,,0.26
626,07/02/2020,,0.55
627,07/02/2021,0.0,0.76
628,07/03/2019,,0.8
629,07/03/2023,1.53,0.12
630,07/05/2019,,-0.11
631,07/05/2022,-0.1,0.19
632,07/05/2023,4.34,-0.15
633,07/06/2020,,1.54
634,07/06/2021,-0.2,-0.18
635,07/06/2022,0.1,0.34
636,07/06/2023,-5.97,-0.78
637,07/07/2020,,-1.03
638,07/07/2021,0.2,0.35
639,07/07/2022,0.2,1.5
640,07/07/2023,-18.08,-0.25
641,07/08/2019,,-0.55
642,07/08/2020,,0.76
643,07/08/2021,-0.4,-0.81
644,07/08/2022,0.2,-0.08
645,07/09/2019,,0.12
646,07/09/2020,,-0.57
647,07/09/2021,0.0,1.07
648,07/10/2019,,0.48
649,07/10/2020,,1.02
650,07/10/2023,-18.54,0.25
651,07/11/2019,,0.23
652,07/11/2022,0.1,-1.14
653,07/11/2023,-13.69,0.64
654,07/12/2019,,0.45
655,07/12/2021,0.0,0.36
656,07/12/2022,-0.29,-0.88
657,07/12/2023,1.17,0.8
658,07/13/2020,,-0.87
659,07/13/2021,0.2,-0.34
660,07/13/2022,0.15,-0.53
661,07/13/2023,5.94,0.79
662,07/14/2020,,1.3
663,07/14/2021,-0.2,0.15
664,07/14/2022,0.1,-0.24
665,07/14/2023,-0.62,-0.06
666,07/15/2019,,0.03
667,07/15/2020,,0.92
668,07/15/2021,0.1,-0.34
669,07/15/2022,-0.34,1.91
670,07/16/2019,,-0.32
671,07/16/2020,,-0.33
672,07/16/2021,0.0,-0.78
673,07/17/2019,,-0.68
674,07/17/2020,,0.29
675,07/17/2023,2.04,0.35
676,07/18/2019,,0.37
677,07/18/2022,0.05,-0.83
678,07/18/2023,7.53,0.74
679,07/19/2019,,-0.56
680,07/19/2021,0.0,-1.48
681,07/19/2022,0.54,2.7
682,07/19/2023,2.0,0.22
683,07/20/2020,,0.81
684,07/20/2021,-0.1,1.43
685,07/20/2022,0.29,0.64
686,07/20/2023,-8.96,-0.66
687,07/21/2020,,0.21
688,07/21/2021,0.3,0.81
689,07/21/2022,-0.78,1.02
690,07/21/2023,1.85,0.0
691,07/22/2019,,0.25
692,07/22/2020,,0.57
693,07/22/2021,-0.1,0.21
694,07/22/2022,0.0,-0.93
695,07/23/2019,,0.72
696,07/23/2020,,-1.19
697,07/23/2021,0.1,1.03
698,07/24/2019,,0.47
699,07/24/2020,,-0.64
700,07/24/2023,1.51,0.45
701,07/25/2019,,-0.48
702,07/25/2022,0.0,0.12
703,07/25/2023,0.3,0.27
704,07/26/2019,,0.67
705,07/26/2021,-0.1,0.25
706,07/26/2022,0.2,-1.18
707,07/26/2023,10.09,0.02
708,07/27/2020,,0.73
709,07/27/2021,0.3,-0.46
710,07/27/2022,0.04,2.6
711,07/27/2023,1.35,-0.66
712,07/28/2020,,-0.63
713,07/28/2021,0.0,-0.04
714,07/28/2022,-0.04,1.25
715,07/28/2023,4.52,0.98
716,07/29/2019,,-0.18
717,07/29/2020,,1.23
718,07/29/2021,-0.1,0.41
719,07/29/2022,0.2,1.46
720,07/30/2019,,-0.25
721,07/30/2020,,-0.36
722,07/30/2021,-0.2,-0.49
723,07/31/2019,,-1.09
724,07/31/2020,,0.79
725,07/31/2023,1.27,0.19
726,08/01/2019,,-0.87
727,08/01/2022,-0.39,-0.3
728,08/01/2023,-2.26,-0.29
729,08/02/2019,,-0.75
730,08/02/2021,-0.2,-0.21
731,08/02/2022,0.0,-0.66
732,08/02/2023,-7.2,-1.39
733,08/03/2020,,0.7
734,08/03/2021,0.2,0.81
735,08/03/2022,0.0,1.57
736,08/03/2023,-9.42,-0.29
737,08/04/2020,,0.39
738,08/04/2021,0.0,-0.49
739,08/04/2022,0.0,-0.07
740,08/04/2023,0.61,-0.45
741,08/05/2019,,-3.01
742,08/05/2020,,0.62
743,08/05/2021,0.0,0.63
744,08/05/2022,0.3,-0.17
745,08/06/2019,,1.4
746,08/06/2020,,0.67
747,08/06/2021,0.0,0.17
748,08/07/2019,,0.06
749,08/07/2020,,0.07
750,08/07/2023,6.08,0.87
751,08/08/2019,,1.96
752,08/08/2022,-0.2,-0.12
753,08/08/2023,-4.3,-0.43
754,08/09/2019,,-0.68
755,08/09/2021,0.0,-0.08
756,08/09/2022,0.0,-0.4
757,08/09/2023,-2.1,-0.67
758,08/10/2020,,0.3
759,08/10/2021,-0.1,0.12
760,08/10/2022,0.64,2.1
761,08/10/2023,-0.61,0.04
762,08/11/2020,,-0.83
763,08/11/2021,0.0,0.25
764,08/11/2022,0.05,0.0
765,08/11/2023,3.08,-0.06
766,08/12/2019,,-1.22
767,08/12/2020,,1.39
768,08/12/2021,0.0,0.3
769,08/12/2022,-0.1,1.69
770,08/13/2019,,1.56
771,08/13/2020,,-0.18
772,08/13/2021,-0.1,0.18
773,08/14/2019,,-2.96
774,08/14/2020,,0.0
775,08/14/2023,-0.6,0.55
776,08/15/2019,,0.26
777,08/15/2022,-0.1,0.41
778,08/15/2023,-2.7,-1.16
779,08/16/2019,,1.48
780,08/16/2021,0.1,0.24
781,08/16/2022,-0.1,0.2
782,08/16/2023,-6.79,-0.73
783,08/17/2020,,0.32
784,08/17/2021,0.0,-0.66
785,08/17/2022,0.1,-0.71
786,08/17/2023,6.29,-0.76
787,08/18/2020,,0.22
788,08/18/2021,-0.2,-1.09
789,08/18/2022,0.49,0.29
790,08/18/2023,0.62,0.05
791,08/19/2019,,1.2
792,08/19/2020,,-0.42
793,08/19/2021,0.2,0.15
794,08/19/2022,-0.39,-1.34
795,08/20/2019,,-0.77
796,08/20/2020,,0.31
797,08/20/2021,-0.2,0.8
798,08/21/2019,,0.81
799,08/21/2020,,0.35
800,08/21/2023,0.62,0.65
801,08/22/2019,,-0.03
802,08/22/2022,0.1,-2.08
803,08/22/2023,-1.54,-0.27
804,08/23/2019,,-2.57
805,08/23/2021,0.2,0.88
806,08/23/2022,0.39,-0.24
807,08/23/2023,-1.25,1.11
808,08/24/2020,,1.01
809,08/24/2021,-0.2,0.16
810,08/24/2022,0.1,0.32
811,08/24/2023,0.63,-1.39
812,08/25/2020,,0.35
813,08/25/2021,0.1,0.21
814,08/25/2022,-0.19,1.41
815,08/25/2023,-2.52,0.7
816,08/26/2019,,1.11
817,08/26/2020,,1.0
818,08/26/2021,-0.13,-0.59
819,08/26/2022,-0.2,-3.38
820,08/27/2019,,-0.39
821,08/27/2020,,0.22
822,08/27/2021,0.0,0.89
823,08/28/2019,,0.7
824,08/28/2020,,0.65
825,08/28/2023,2.26,0.63
826,08/29/2019,,1.28
827,08/29/2022,-0.2,-0.66
828,08/29/2023,8.2,1.45
829,08/30/2019,,-0.04
830,08/30/2021,0.33,0.44
831,08/30/2022,0.0,-1.1
832,08/30/2023,0.29,0.41
833,08/31/2020,,-0.36
834,08/31/2021,1.21,-0.15
835,08/31/2022,-4.7,-0.76
836,08/31/2023,-3.2,-0.15
837,09/01/2020,,0.94
838,09/01/2021,-1.19,0.05
839,09/01/2022,4.73,0.31
840,09/01/2023,-4.2,0.19
841,09/02/2020,,1.45
842,09/02/2021,0.1,0.31
843,09/02/2022,-0.1,-1.05
844,09/03/2019,,-0.58
845,09/03/2020,,-3.44
846,09/03/2021,0.0,-0.02
847,09/04/2019,,1.14
848,09/04/2020,,-0.82
849,09/05/2019,,1.29
850,09/05/2023,7.21,-0.43
851,09/06/2019,,0.08
852,09/06/2022,0.2,-0.38
853,09/06/2023,-2.05,-0.67
854,09/07/2021,0.2,-0.36
855,09/07/2022,0.12,1.8
856,09/07/2023,-3.88,-0.31
857,09/08/2020,,-2.73
858,09/08/2021,-0.2,-0.12
859,09/08/2022,-0.22,0.65
860,09/08/2023,0.93,0.15
861,09/09/2019,,0.05
862,09/09/2020,,1.97
863,09/09/2021,0.1,-0.43
864,09/09/2022,-7.87,1.55
865,09/10/2019,,-0.02
866,09/10/2020,,-1.74
867,09/10/2021,0.2,-0.79
868,09/11/2019,,0.71
869,09/11/2020,,0.05
870,09/11/2023,-3.08,0.66
871,09/12/2019,,0.35
872,09/12/2022,-7.86,1.07
873,09/12/2023,-6.67,-0.55
874,09/13/2019,,-0.07
875,09/13/2021,0.0,0.26
876,09/13/2022,-17.8,-4.35
877,09/13/2023,3.74,0.12
878,09/14/2020,,1.32
879,09/14/2021,0.0,-0.54
880,09/14/2022,0.42,0.38
881,09/14/2023,6.23,0.86
882,09/15/2020,,0.51
883,09/15/2021,0.0,0.84
884,09/15/2022,-17.37,-1.14
885,09/15/2023,3.4,-1.55
886,09/16/2019,,-0.31
887,09/16/2020,,-0.4
888,09/16/2021,-0.5,-0.16
889,09/16/2022,-22.71,-1.17
890,09/17/2019,,0.25
891,09/17/2020,,-0.88
892,09/17/2021,0.3,-1.29
893,09/18/2019,,0.06
894,09/18/2020,,-1.55
895,09/18/2023,-3.88,0.06
896,09/19/2019,,-0.01
897,09/19/2022,54.61,0.78
898,09/19/2023,0.0,-0.21
899,09/20/2019,,-0.93
900,09/20/2021,-0.4,-1.67
901,09/20/2022,-13.33,-1.15
902,09/20/2023,-2.17,-0.92
903,09/21/2020,,-1.11
904,09/21/2021,0.11,-0.09
905,09/21/2022,-16.86,-1.74
906,09/21/2023,-3.49,-1.65
907,09/22/2020,,1.02
908,09/22/2021,0.14,0.98
909,09/22/2022,-1.57,-0.84
910,09/22/2023,0.66,-0.22
911,09/23/2019,,-0.02
912,09/23/2020,,-2.32
913,09/23/2021,0.45,1.22
914,09/23/2022,-40.0,-1.68
915,09/24/2019,,-0.78
916,09/24/2020,,0.27
917,09/24/2021,0.0,0.16
918,09/25/2019,,0.59
919,09/25/2020,,1.62
920,09/25/2023,-5.23,0.42
921,09/26/2019,,-0.21
922,09/26/2022,-26.83,-0.99
923,09/26/2023,-5.17,-1.47
924,09/27/2019,,-0.54
925,09/27/2021,-0.3,-0.29
926,09/27/2022,22.55,-0.26
927,09/27/2023,-11.09,0.04
928,09/28/2020,,1.66
929,09/28/2021,0.2,-2.02
930,09/28/2022,-13.38,1.97
931,09/28/2023,-2.04,0.58
932,09/29/2020,,-0.54
933,09/29/2021,0.2,0.17
934,09/29/2022,-7.3,-2.09
935,09/29/2023,-40.29,-0.24
936,09/30/2019,,0.46
937,09/30/2020,,0.76
938,09/30/2021,0.1,-1.22
939,09/30/2022,-5.09,-1.55
940,10/01/2019,,-1.19
941,10/01/2020,,0.64
942,10/01/2021,-0.08,1.19
943,10/02/2019,,-1.77
944,10/02/2020,,-0.95
945,10/02/2023,16.78,-0.04
946,10/03/2019,,0.82
947,10/03/2022,0.0,2.64
948,10/03/2023,0.0,-1.34
949,10/04/2019,,1.35
950,10/04/2021,-0.02,-1.29
951,10/04/2022,8.29,3.1
952,10/04/2023,6.59,0.73
953,10/05/2020,,1.77
954,10/05/2021,-0.2,1.04
955,10/05/2022,0.0,-0.23
956,10/05/2023,-2.25,-0.04
957,10/06/2020,,-1.42
958,10/06/2021,0.0,0.42
959,10/06/2022,-6.76,-1.03
960,10/06/2023,2.87,1.19
961,10/07/2019,,-0.43
962,10/07/2020,,1.74
963,10/07/2021,-0.3,0.86
964,10/07/2022,-4.83,-2.79
965,10/08/2019,,-1.55
966,10/08/2020,,0.89
967,10/08/2021,0.1,-0.18
968,10/09/2019,,0.95
969,10/09/2020,,0.89
970,10/09/2023,-7.26,0.64
971,10/10/2019,,0.68
972,10/10/2022,11.17,-0.76
973,10/10/2023,3.01,0.52
974,10/11/2019,,1.04
975,10/11/2021,0.0,-0.72
976,10/11/2022,3.2,-0.63
977,10/11/2023,-9.36,0.41
978,10/12/2020,,1.61
979,10/12/2021,-0.1,-0.25
980,10/12/2022,0.44,-0.33
981,10/12/2023,-10.32,-0.61
982,10/13/2020,,-0.65
983,10/13/2021,0.0,0.36
984,10/13/2022,-2.64,2.64
985,10/13/2023,3.6,-0.5
986,10/14/2019,,-0.11
987,10/14/2020,,-0.63
988,10/14/2021,0.0,1.68
989,10/14/2022,-6.79,-2.28
990,10/15/2019,,0.99
991,10/15/2020,,-0.12
992,10/15/2021,0.1,0.76
993,10/16/2019,,-0.16
994,10/16/2020,,-0.06
995,10/16/2023,1.39,1.05
996,10/17/2019,,0.29
997,10/17/2022,-4.37,2.57
998,10/17/2023,3.42,-0.0
999,10/18/2019,,-0.44
1000,10/18/2021,-0.1,0.3
1001,10/18/2022,6.09,1.17
1002,10/18/2023,-1.99,-1.33
1003,10/19/2020,,-1.52
1004,10/19/2021,0.2,0.77
1005,10/19/2022,-3.83,-0.71
1006,10/19/2023,0.0,-0.88
1007,10/20/2020,,0.4
1008,10/20/2021,-0.1,0.39
1009,10/20/2022,-9.45,-0.84
1010,10/20/2023,4.73,-1.23
1011,10/21/2019,,0.68
1012,10/21/2020,,-0.19
1013,10/21/2021,0.0,0.26
1014,10/21/2022,-2.2,2.43
1015,10/22/2019,,-0.33
1016,10/22/2020,,0.55
1017,10/22/2021,0.3,-0.1
1018,10/23/2019,,0.29
1019,10/23/2020,,0.34
1020,10/23/2023,-3.87,-0.17
1021,10/24/2019,,0.16
1022,10/24/2022,-2.25,1.22
1023,10/24/2023,-4.03,0.75
1024,10/25/2019,,0.41
1025,10/25/2021,0.0,0.54
1026,10/25/2022,1.72,1.6
1027,10/25/2023,-4.9,-1.44
1028,10/26/2020,,-1.85
1029,10/26/2021,0.2,0.09
1030,10/26/2022,-1.69,-0.75
1031,10/26/2023,-7.35,-1.2
1032,10/27/2020,,-0.34
1033,10/27/2021,0.0,-0.44
1034,10/27/2022,-5.17,-0.53
1035,10/27/2023,6.35,-0.45
1036,10/28/2019,,0.56
1037,10/28/2020,,-3.42
1038,10/28/2021,-0.2,0.96
1039,10/28/2022,1.82,2.38
1040,10/29/2019,,-0.03
1041,10/29/2020,,1.02
1042,10/29/2021,0.2,0.2
1043,10/30/2019,,0.31
1044,10/30/2020,,-1.04
1045,10/30/2023,-0.75,1.2
1046,10/31/2019,,-0.27
1047,10/31/2022,10.12,-0.72
1048,10/31/2023,0.75,0.63
1049,11/01/2019,,0.93
1050,11/01/2021,0.0,0.17
1051,11/01/2022,0.54,-0.44
1052,11/01/2023,-6.72,1.07
1053,11/02/2020,,1.12
1054,11/02/2021,0.0,0.4
1055,11/02/2022,4.41,-2.51
1056,11/02/2023,5.6,1.92
1057,11/03/2020,,1.77
1058,11/03/2021,0.1,0.61
1059,11/03/2022,-2.16,-1.03
1060,11/03/2023,1.52,0.91
1061,11/04/2019,,0.4
1062,11/04/2020,,2.23
1063,11/04/2021,0.0,0.47
1064,11/04/2022,0.0,1.44
1065,11/05/2019,,-0.11
1066,11/05/2020,,1.95
1067,11/05/2021,-0.2,0.35
1068,11/06/2019,,0.02
1069,11/06/2020,,-0.02
1070,11/06/2023,-5.97,0.23
1071,11/07/2019,,0.35
1072,11/07/2022,3.68,0.96
1073,11/07/2023,-6.35,0.28
1074,11/08/2019,,0.25
1075,11/08/2021,0.4,0.09
1076,11/08/2022,3.05,0.54
1077,11/08/2023,-1.69,0.07
1078,11/09/2020,,1.26
1079,11/09/2021,0.3,-0.33
1080,11/09/2022,-0.99,-2.06
1081,11/09/2023,-10.78,-0.78
1082,11/10/2020,,-0.15
1083,11/10/2021,-0.6,-0.8
1084,11/10/2022,-3.98,5.5
1085,11/10/2023,-3.38,1.56
1086,11/11/2019,,-0.19
1087,11/11/2020,,0.74
1088,11/11/2021,0.05,0.03
1089,11/11/2022,3.63,0.97
1090,11/12/2019,,0.21
1091,11/12/2020,,-0.97
1092,11/12/2021,0.05,0.75
1093,11/13/2019,,0.03
1094,11/13/2020,,1.38
1095,11/13/2023,0.0,-0.1
1096,11/14/2019,,0.15
1097,11/14/2022,3.5,-0.85
1098,11/14/2023,-15.0,1.94
1099,11/15/2019,,0.72
1100,11/15/2021,0.0,0.03
1101,11/15/2022,2.9,0.85
1102,11/15/2023,7.65,0.21
1103,11/16/2020,,1.25
1104,11/16/2021,0.0,0.4
1105,11/16/2022,2.35,-0.76
1106,11/16/2023,-10.38,0.12
1107,11/17/2020,,-0.54
1108,11/17/2021,-0.07,-0.24
1109,11/17/2022,-7.34,-0.31
1110,11/17/2023,1.46,0.12
1111,11/18/2019,,0.07
1112,11/18/2020,,-1.2
1113,11/18/2021,0.07,0.34
1114,11/18/2022,1.49,0.45
1115,11/19/2019,,-0.03
1116,11/19/2020,,0.42
1117,11/19/2021,-0.1,-0.18
1118,11/20/2019,,-0.37
1119,11/20/2020,,-0.68
1120,11/20/2023,4.57,0.77
1121,11/21/2019,,-0.16
1122,11/21/2022,10.24,-0.36
1123,11/21/2023,-31.03,-0.22
1124,11/22/2019,,0.22
1125,11/22/2021,0.0,-0.28
1126,11/22/2022,-5.31,1.35
1127,11/22/2023,-3.5,0.39
1128,11/23/2020,,0.6
1129,11/23/2021,0.0,0.13
1130,11/23/2022,1.4,0.63
1131,11/24/2020,,1.61
1132,11/24/2021,0.1,0.27
1133,11/24/2023,-3.28,0.06
1134,11/25/2019,,0.78
1135,11/25/2020,,-0.15
1136,11/25/2022,-1.84,-0.02
1137,11/26/2019,,0.23
1138,11/26/2021,-0.1,-2.23
1139,11/27/2019,,0.45
1140,11/27/2020,,0.28
1141,11/27/2023,-3.57,-0.18
1142,11/28/2022,5.63,-1.6
1143,11/28/2023,11.11,0.1
1144,11/29/2019,,-0.37
1145,11/29/2021,0.0,1.23
1146,11/29/2022,-10.22,-0.17
1147,11/29/2023,1.5,-0.07
1148,11/30/2020,,-0.44
1149,11/30/2021,0.0,-1.95
1150,11/30/2022,1.49,3.15
1151,11/30/2023,9.03,0.39
1152,12/01/2020,,1.09
1153,12/01/2021,0.1,-1.11
1154,12/01/2022,1.95,-0.07
1155,12/01/2023,33.13,0.59
1156,12/02/2019,,-0.85
1157,12/02/2020,,0.21
1158,12/02/2021,0.1,1.53
1159,12/02/2022,3.35,-0.12
1160,12/03/2019,,-0.67
1161,12/03/2020,,-0.03
1162,12/03/2021,-0.1,-0.87
1163,12/04/2019,,0.62
1164,12/04/2020,,0.86
1165,12/04/2023,-2.26,-0.52
1166,12/05/2019,,0.18
1167,12/05/2022,23.15,-1.8
1168,12/05/2023,-3.36,-0.02
1169,12/06/2019,,0.91
1170,12/06/2021,-0.1,1.18
1171,12/06/2022,7.89,-1.44
1172,12/06/2023,-14.97,-0.4
1173,12/07/2020,,-0.21
1174,12/07/2021,-0.1,2.07
1175,12/07/2022,20.91,-0.17
1176,12/07/2023,-5.92,0.76
1177,12/08/2020,,0.29
1178,12/08/2021,0.0,0.26
1179,12/08/2022,14.7,0.78
1180,12/08/2023,-7.04,0.43
1181,12/09/2019,,-0.31
1182,12/09/2020,,-0.9
1183,12/09/2021,0.0,-0.68
1184,12/09/2022,-1.26,-0.75
1185,12/10/2019,,-0.11
1186,12/10/2020,,-0.03
1187,12/10/2021,-0.1,0.94
1188,12/11/2019,,0.28
1189,12/11/2020,,-0.12
1190,12/11/2023,3.22,0.39
1191,12/12/2019,,0.86
1192,12/12/2022,-1.65,1.44
1193,12/12/2023,-1.09,0.46
1194,12/13/2019,,0.06
1195,12/13/2021,0.3,-0.89
1196,12/13/2022,-18.76,0.76
1197,12/13/2023,-2.21,1.38
1198,12/14/2020,,-0.45
1199,12/14/2021,-0.1,-0.69
1200,12/14/2022,25.48,-0.64
1201,12/14/2023,0.81,0.32
1202,12/15/2020,,1.35
1203,12/15/2021,-0.1,1.56
1204,12/15/2022,-7.11,-2.45
1205,12/15/2023,-9.6,-0.57
1206,12/16/2019,,0.69
1207,12/16/2020,,0.16
1208,12/16/2021,0.2,-0.88
1209,12/16/2022,-35.79,-1.63
1210,12/17/2019,,0.02
1211,12/17/2020,,0.56
1212,12/17/2021,0.0,-1.41
1213,12/18/2019,,0.01
1214,12/18/2020,,-0.82
1215,12/18/2023,11.5,0.56
1216,12/19/2019,,0.41
1217,12/19/2022,-12.77,-0.85
1218,12/19/2023,0.0,0.61
1219,12/20/2019,,-0.05
1220,12/20/2021,-0.2,-1.06
1221,12/20/2022,10.24,0.14
1222,12/20/2023,-7.62,-1.39
1223,12/21/2020,,-0.36
1224,12/21/2021,-0.1,1.78
1225,12/21/2022,-4.87,1.5
1226,12/21/2023,-1.89,0.95
1227,12/22/2020,,-0.17
1228,12/22/2021,0.2,1.0
1229,12/22/2022,2.79,-1.43
1230,12/22/2023,-7.18,0.2
1231,12/23/2019,,0.15
1232,12/23/2020,,0.09
1233,12/23/2021,-0.2,0.62
1234,12/23/2022,-1.36,0.58
1235,12/24/2019,,0.0
1236,12/24/2020,,0.39
1237,12/26/2019,,0.53
1238,12/26/2023,-6.79,0.42
1239,12/27/2019,,-0.02
1240,12/27/2021,-0.1,1.42
1241,12/27/2022,-0.92,-0.39
1242,12/27/2023,4.25,0.18
1243,12/28/2020,,0.86
1244,12/28/2021,0.1,-0.08
1245,12/28/2022,6.94,-1.24
1246,12/28/2023,4.85,0.04
1247,12/29/2020,,-0.19
1248,12/29/2021,0.0,0.13
1249,12/29/2022,-1.73,1.8
1250,12/29/2023,-1.48,-0.29
1251,12/30/2019,,-0.55
1252,12/30/2020,,0.14
1253,12/30/2021,0.1,-0.28
1254,12/30/2022,0.88,-0.26
1255,12/31/2019,,0.24
1256,12/31/2020,,0.51
1257,12/31/2021,0.2,-0.25
